num,  id,      sn,       name,   tofConflictNum,      index
1,1, b827eb53e5aa, GWFL-001,0,"1,2,3,4"
2,2, 5410ec335467, GWSL-002,0,                N/A
3,3, d88039a36a07, GWSL-003,0,                N/A
4,4, 5410ec339df1, GWSL-004,0,                N/A
5,5, 5410ec33bbc5, GWSL-005,0,                N/A
6,6, 5410ec338224, GWSL-006,0,                N/A
7,7, 5410ec33db27, GWSL-007,0,                N/A
8,8, d88039a3a46f, GWSL-008,0,                N/A
9,9,2.30183E+11, CDSC-009,0,                N/A
10,10, 5410ec338070, GWSL-010,0,                N/A
11,11, 5410ec3369d2, GWSL-011,0,                N/A
12,12, 5410ec33f433, GWSL-012,0,                N/A
13,13, 5410ec33d657, GWSL-013,0,                N/A
14,14, d88039a3c2c2, GWSL-014,0,                N/A
15,15, 5410ec33a336, GWSL-015,0,                N/A
16,16, 5410ec3383f6, GWSL-016,0,                N/A
17,17, 5410ec336861, GWSL-017,0,                N/A
18,18, 5410ec33bb64, GWSL-018,0,                N/A
19,19, 5410ec337f8e, GWSL-019,0,                N/A
20,20, cc4b731d36e2, GWSL-020,0,                N/A
21,21,2.30183E+11, CDSC-021,0,                N/A
22,22,2.30183E+11, CDSC-022,0,                N/A
23,23, cc4b731d4436, GWSL-023,0,                N/A
24,24,2.30184E+11, CDSC-024,0,                N/A
25,25, cc4b731d863c, GWSL-025,0,                N/A
26,26, 5410ec33be53, GWSL-026,0,                N/A
27,27,2.30184E+11, CDSC-027,0,                N/A
28,30, cc4b731d44a2, GWSL-030,0,                N/A
29,34,2.30183E+11, CDSC-034,0,                N/A
30,29, ac83f35a3458, GWSL-029,0,                N/A
31,28, cc4b731d29c4, GWSL-028,0,                N/A
32,31, cc4b731d8410, GWSL-031,0,                N/A
33,32, b0f1ec980ce0, GWSL-032,0,                N/A
34,33,2.30183E+11, CDSC-033,0,                N/A
35,36,2.30183E+11, CDSC-036,0,                N/A
36,35,2.30183E+11, CDSC-035,0,                N/A
37,37,2.30183E+11, CDSC-037,0,                N/A
38,38, 5410ec33d625, GWSL-038,0,                N/A
39,39, 5410ec33a33e, GWSL-039,0,                N/A
40,40, 5410ec338352, GWSL-040,0,                N/A
41,41, 5410ec3366f9, GWSL-041,0,                N/A
42,42,2.30184E+11, CDSC-042,0,                N/A
